Publisher,Regional Preference/Origin Location,Website,Subjects,Genre,No. of Books Published (last 5 yrs),Max. Publications' Year,Max. Publications' Season,Manuscript Needed (Y/N),Chapters Needed (Y/N),requires_agent,peer_reviewed,proposal_required,academic_focus,religious_focus,in_house,open_calls,Miscellaneous Submission Requirements,Promotion Channels,Titles/Industry Recognitions
VIZ,"San Francisco, US",www.viz.com,"Manga, Comics & Graphic Novels, and Fiction",Multi,7000,2023,Winter,Y,Y,N,N,N,N,None,N,Y,Top manga publisher in English; mostly licensed from Japan; minimal open calls,"Anime cons, global retail presence, online fandom","Home to Naruto, One Piece, and numerous bestsellers"
Stenhouse Publishers,"Portland, US",www.stenhouse.com,"Math & Science, Education & Reference, and Nonfiction",Multi,500,2021,Summer,Y,N,N,N,Y,N,None,N,N,Teacher professional development K-12; proposals from experienced educators,"Schools, library distribution, teacher conferences, direct marketing",Respected imprint for practical teaching guides
Scholastic Press,"New York City, US",www.scholastic.com,"Picture Book, Middle Grade, Young Adult, Education & Reference, and Children's",Multi,500,2023,Winter,Y,N,Y,N,N,N,None,N,N,Division of Scholastic focusing on trade children’s/YA; typically agented or slush with guidelines,"Massive school/book fair distribution, library marketing, global brand","Publishes blockbuster series like Harry Potter, The Hunger Games, etc."
Aethon,"New York City, US",www.aethonbooks.com,"Science Fiction, Fantasy, and Fiction",Multi,200,2022,Summer,Y,N,N,N,N,N,None,N,Y,"Known for progression fantasy, LitRPG, military SF; open calls posted on site","Online fan communities, SFF cons, e-book marketing",Growing SFF press tapping into webfiction crossovers
Siren Publishing,"Houston, US",www.sirenpublishing.com,Romance and Fiction,Romance and Fiction,400,2020,Fall,Y,Y,N,N,N,N,None,N,N,Steamy/erotic romance subgenres; see website for guidelines,"Online romance marketing, library e-book channels, social media",Focus on adult romance lines
Norman Maine Publishing,"New York City, US",www.normanmainepublishing.com,Screenplays and Fiction,Screenplays and Fiction,5000,2020,Winter,N,N,N,N,N,N,None,N,Y,"Offers theatrical scripts, minimal open calls; see site if still operational","Theatre licensing, drama clubs, library distribution",Little info—possibly an aggregator or service
Sourcebooks Casablanca,"Chicago, US",www.sourcebooks.com,"Romance, Diverse Literature, LGBTQ+, BIPOC, and Fiction",Multi,700,2023,Fall,Y,Y,N,N,N,N,None,N,Y,Romance imprint of Sourcebooks; open calls for various romance subgenres,"Romance cons, social media promotions, library distribution",Home to many bestselling romance authors
Vertigo Comics,"New York City, US",www.vertigocomics.com,Comics & Graphic Novels and Fiction,Comics & Graphic Novels and Fiction,800,2020,Fall,Y,N,N,N,N,N,None,N,N,DC’s (now defunct) adult imprint; historically open to edgy creator-owned pitches with editorial contacts,"Comic cons, DC distribution, major retailers, digital channels","Published iconic mature comics like Sandman, V for Vendetta"
Plays Inverse Press,"Philadelphia, US",www.playsinversepress.com,Screenplays and Fiction,Screenplays and Fiction,150,2021,Summer,N,N,N,N,N,N,None,N,N,Experimental theatre & literary crossover scripts; open windows posted online,"Theatre community, small press distribution, library marketing",Niche dramatic lit press
Aladdin,"New York City, US",www.aladdinbooks.com,"Picture Book, Middle Grade, Diverse Literature, and Children's",Multi,700,2023,Fall,Y,Y,Y,N,N,N,None,N,N,"Imprint of Simon & Schuster Kids; mostly agented, check site for slush details","Library marketing, big retail distribution, school fairs",Publishes well-known children’s series & picture books
Fig Tree Books,"New York City, US",www.fig-tree-books.com,"Jewish Literature, Biographies & Memoirs, Nonfiction, and Fiction",Multi,2000,2022,Spring,Y,Y,N,N,N,N,Jewish,N,N,Focus on American Jewish experience in fiction & memoir; see guidelines,"Synagogue networks, Jewish book fairs, library distribution",Respected small press exploring modern Jewish identity
Cardinal Rule Press,"Detroit, US",www.cardinalrulepress.com,"Picture Book, Diverse Literature, and Children's",Multi,400,2023,Spring,Y,Y,N,N,N,N,None,N,Y,Focus on children’s empowerment and social themes; open calls posted,"School visits, library marketing, social media, kids’ fairs","Award-winning for inclusive, uplifting children’s titles"
La Femme Fatale Publishing,"Washington DC, US",www.lafemmefatale.com,"Urban Fiction, African-American, Diverse Literature, BIPOC, and Fiction",Multi,100,2023,Winter,Y,Y,N,N,N,N,None,N,N,"Street lit and women’s empowerment stories, see site for queries","Urban lit events, library distribution, black bookstores, social media",Niche for gritty female-centered street fiction
Mountaindale Press,"Minneapolis, US",www.mountaindalepress.com,"Science Fiction, Fantasy, and Fiction",Multi,300,2021,Fall,Y,Y,N,N,N,N,None,N,Y,"LitRPG, dungeon core, progression fantasy; open calls posted occasionally","Online marketing, SFF cons, strong e-book presence",Up-and-coming press in online gamer-fantasy niches
McGraw Hill Education,"Philadelphia, US",www.mheducation.com,"Education & Reference, Medical, Math & Science, Law, Diverse Literature, and Nonfiction",Multi,5000,2021,Fall,N,N,N,N,N,N,None,N,N,One of the largest educational publishers; authored mostly by experts/faculty,"Global distribution, library channels, corporate training partnerships",Iconic textbook giant with wide professional lines
University of California Press,"San Francisco, US",www.ucpress.edu,"Academic, History, Education & Reference, Art, Environmental, Health & Wellbeing, Medical, Politics, Religion & Spirituality, Math & Science, Law, and Nonfiction",Multi,4000,2019,Fall,Y,N,N,Y,Y,Y,None,N,N,Peer-reviewed academic monographs & some trade; proposals from scholars,"University/academic networks, conferences, library distribution","World-class scholarly press, known for social sciences & humanities"
Dafina,"New York City, US",www.dafina-books.com,"Biographies & Memoirs, Education & Reference, African-American, History, Religion & Spirituality, Self-Help, Mystery & Crime, Thriller & Suspense, Historical Fiction, Romance, Urban Fiction, Diverse Literature, LGBTQ+, BIPOC, Fiction, and Nonfiction",Multi,200,2022,Summer,Y,N,N,N,N,N,None,N,Y,Kensington imprint dedicated to African-American fiction & nonfiction; open to queries,"Urban lit events, black bookstores, library marketing, social media",Prominent brand for black romance/urban stories
Clarion Books,"Boston, US",www.hmhco.com/clarion,"Picture Book, Middle Grade, Young Adult, and Children's",Multi,1200,2020,Summer,Y,Y,Y,N,N,N,None,N,N,"Former HMH imprint (now HarperCollins), children’s & YA, typically agented","Big distribution in schools/libraries, marketing at children’s fairs",Multiple award-winning children’s classics
Peachtree Publishers,"Atlanta, US",www.peachtree-online.com,"Picture Book, Middle Grade, Young Adult, Cookbook, DIY, Environmental, Biographies & Memoirs, Travel, Children's, Fiction, and Nonfiction",Multi,800,2023,Winter,Y,Y,N,N,N,N,None,N,N,"Specializes in children’s & some adult nonfiction, see site for guidelines","Library marketing, children’s fairs, environment-themed promotions",Known for high-quality children’s picture books with nature focus
Interlude Press,"New York City, US",www.interludepress.com,"Historical Fiction, Romance, Literary Fiction, Science Fiction, Fantasy, Mystery & Crime, Thriller & Suspense, Young Adult, LGBTQ+, Diverse Literature, Fiction, and Short Story",Multi,300,2024,Spring,Y,Y,N,N,N,N,None,N,Y,Publishing LGBTQ+ romance & lit across genres; open calls posted online,"Online marketing, library distribution, con appearances",Acclaimed for inclusive romance & speculative fiction lines
Brown Girl Books,"New York City, US",www.browngirlbooks.com,"African-American, Romance, Women's Fiction, Picture Book, Middle Grade, Young Adult, BIPOC, Diverse Literature, Fiction, and Children's",Multi,100,2019,Winter,Y,N,N,N,N,N,None,N,N,Focus on black women & kids’ lit; queries by email or site form,"Community events, black bookstores, library distribution",Small press championing African-American women’s stories for kids & adults
Prestel Publishing,"New York City, US",www.prestelpublishing.com,"Picture Book, Art, Cookbook, Photography, Architecture, Middle Grade, History, Politics, Biographies & Memoirs, Nonfiction, and Children's",Multi,500,2020,Spring,N,Y,N,N,N,N,None,N,N,"High-end art/photography/cookbooks, typically curated projects","Museum shops, design stores, global distribution, library marketing",Renowned for lavishly illustrated fine art/cultural titles
Third World Press Foundation,"Chicago, US",www.thirdworldpressfoundation.org,"Screenplays, Young Adult, African-American, Middle Grade, Education & Reference, History, Politics, Urban Fiction, Academic, Biographies & Memoirs, Diverse Literature, BIPOC, Fiction, Nonfiction, Poetry, and Children's",Multi,3000,2023,Winter,Y,Y,N,N,N,N,None,N,Y,"Historic Black-owned press, focuses on African-American works; open calls on site","Community activism, library marketing, black bookstores, academic distribution",Oldest independent African-American publisher in the US
Springer Publishing,"New York City, US",www.springer.com,"Academic, Medical, Psychology, Law, and Nonfiction",Multi,250,2019,Summer,Y,Y,N,Y,Y,Y,None,N,N,Peer-reviewed medical & social science texts; proposals from scholars/professionals,"Academic libraries, conferences, institutional marketing","Significant in nursing, psychology, public health"
RJ Publications,"Houston, US",www.rjpublications.com,"Urban Fiction, Romance, African-American, Diverse Literature, BIPOC, and Fiction",Multi,300,2024,Fall,Y,N,N,N,N,N,None,N,N,Specializes in gritty romance & urban lit; see site for submission details,"Urban fiction community, library distribution, social media marketing",Indie publisher with focus on real-life drama & romance
Journalstone,"Chicago, US",www.journalstone.com,Horror and Fiction,Horror and Fiction,200,2020,Fall,Y,Y,N,N,N,N,None,N,N,Indie horror press open to novels & anthologies; guidelines on website,"Horror cons, library distribution, direct-to-fan marketing",Award-winning small press in the horror genre
The Word Among Us Press,"Washington DC, US",www.wordamongus.org,Catholic and Nonfiction,Catholic and Nonfiction,1000,2024,Summer,Y,Y,N,N,N,N,Catholic,N,N,"Spiritual devotionals, Catholic theology; see site for proposals","Catholic bookstore distribution, parish networks, direct marketing",Publishes The Word Among Us devotional magazine and related books
Feldheim Publishers,"New York City, US",www.feldheim.com,"Jewish Literature, Religion & Spirituality, Education & Reference, Cookbook, Health & Wellbeing, Historical Fiction, Nonfiction, Fiction, Children's, and Short Story",Multi,700,2023,Fall,Y,Y,N,N,N,N,Jewish,N,N,"Orthodox Jewish orientation, wide range from children’s to adult Torah commentary","Jewish retailers, synagogue libraries, direct distribution",Renowned for Torah-based living resources
Ave Maria Press,"Indianapolis, US",www.avemariapress.com,Catholic and Nonfiction,Catholic and Nonfiction,600,2022,Summer,Y,N,N,N,N,N,Spiritual,N,N,"Owned by the Congregation of Holy Cross, see site for theology/spiritual proposals","Catholic retail, library marketing, parish networks",Major Catholic publisher recognized for devotionals/spiritual guidance
Dutton Children's Books,"New York City, US",https://www.penguin.com/dutton-childrens-overview/,"Picture Book, Middle Grade, Young Adult, and Children's",Multi,800,2020,Summer,Y,N,Y,N,N,N,None,N,N,"Penguin Young Readers imprint, typically agented children’s/YA","Huge library marketing, school fairs, broad retail distribution",Known for numerous award-winning children’s/YA titles
Bella Books,"Houston, US",www.bellabooks.com,"Romance, Mystery & Crime, Action & Adventure, Thriller & Suspense, Science Fiction, Fantasy, LGBTQ+, Diverse Literature, and Fiction",Multi,250,2020,Spring,Y,N,N,N,N,N,None,N,Y,Focus on women-loving-women romance & genre fiction; open submissions online,"LGBTQ+ romance networks, library marketing, digital retailers",Largest lesbian romance publisher in the US
Eraserhead Press,"Portland, US",www.eraserheadpress.com,"Horror, Fantasy, Science Fiction, Fiction, and Novella",Multi,200,2021,Spring,Y,N,N,N,N,N,None,N,N,"Flagship for Bizarro Fiction, open reading windows posted on site","Cult horror/bizarro cons, niche online marketing, library distribution",Leader in the bizarro literary movement
Tachyon Publications,"San Francisco, US",www.tachyonpublications.com,"Science Fiction, Fantasy, Horror, Mystery & Crime, Biographies & Memoirs, Young Adult, Literary Fiction, Fiction, Short Story, Children's, and Novella",Multi,150,2021,Winter,Y,Y,N,N,N,N,None,N,Y,"Speculative/literary crossovers, open calls for novellas/anthologies occasionally","SFF cons, library distribution, small press marketing",Award-winning for anthologies & novellas in SFF/horror realms
Cleis Press,"New York City, US",www.cleispress.com,"Romance, Self-Help, Feminism, Biographies & Memoirs, Health & Wellbeing, LGBTQ+, Diverse Literature, Fiction, and Nonfiction",Multi,1000,2024,Spring,Y,N,N,N,N,N,None,N,Y,"Focus on sexuality, feminism, LGBTQ+ romance, open reading periods posted","Adult-themed marketing, library channels, e-book distribution",Longest-running erotica/feminist press
Pelican Publishing Company,"New Orleans, US",www.pelicanpub.com,"Picture Book, Middle Grade, Young Adult, History, Biographies & Memoirs, Cookbook, Architecture, Humor, Sports & Outdoors, Children's, and Nonfiction",Multi,100,2020,Winter,Y,N,N,N,N,N,None,N,Y,"Specializes in Southern/regional children’s & adult nonfic, open to queries","Regional gift shops, library distribution, local events marketing","Known for local culture, cuisine, and children’s books"
MathPro Press,"Boston, US",www.mathpropress.com,"Academic, Math & Science, Education & Reference, and Nonfiction",Multi,250,2024,Fall,Y,N,N,Y,N,Y,None,N,N,"Advanced math texts/workbooks, peer-reviewed approach for proposals","Academic conferences, library distribution, direct to math educators",Small but reputable math publisher
Behrman House,"New York City, US",www.behrmanhouse.com,"Jewish Literature, Education & Reference, and Nonfiction",Multi,200,2023,Winter,Y,Y,N,N,N,N,Jewish,N,N,Focus on Hebrew/Jewish education texts & resources; see guidelines,"Synagogue schools, library marketing, direct educator sales",Leading Jewish educational publisher
Greyhouse,"New York City, US",www.greyhouse.com,"Business, History, Medical, Education & Reference, Health & Wellbeing, and Nonfiction",Multi,300,2024,Winter,Y,N,N,N,N,N,None,N,N,"Business directories, library reference guides; see site","Reference libraries, corporate marketing, specialized trade shows",Trusted for comprehensive business and medical reference works
Carnation Books,"San Francisco, US",www.carnationbooks.com,"Romance, Historical Fiction, LGBTQ+, Diverse Literature, Fiction, and Novella",Multi,200,2024,Fall,Y,N,N,N,N,N,None,N,Y,"Focus on queer romance/historical, open calls posted occasionally","Online romance/lgbtq+ communities, library distribution, social media",Inclusive small press in romance/historical subgenres
Harper's Books,"New York City, US",www.harperbooks.com,Photography and Nonfiction,Photography and Nonfiction,100,2024,Fall,Y,Y,N,N,N,N,None,N,N,Boutique art/photography imprint; see site or direct contact for proposals,"Galleries, museum shops, photography events, library marketing","High-end photography books, curated approach"
Melodrama Publishing,"New York City, US",www.melodramapublishing.com,"Urban Fiction, Romance, African-American, Diverse Literature, BIPOC, and Fiction",Multi,5000,2019,Fall,Y,Y,N,N,N,N,None,N,Y,"Street lit & romance focus, open calls posted; large author stable","Urban lit community, library distribution, black bookstores, online marketing",One of the biggest street-lit publishers
Thomas Nelson,"Nashville, US",www.thomasnelson.com,"Christian, Religion & Spirituality, Fiction, Nonfiction, and Children's",Multi,200,2020,Summer,Y,N,Y,N,N,N,Christian,N,N,HarperCollins Christian imprint; typically agented or known authors,"Major Christian retailer presence, library distribution, wide marketing",Historic Christian house with numerous bestsellers
Pride Publishing,"Los Angeles, US",www.pridepublishing.com,"LGBTQ+, Horror, Science Fiction, Action & Adventure, Humor, Mystery & Crime, Historical Fiction, Diverse Literature, and Fiction",Multi,150,2021,Winter,Y,Y,N,N,N,N,None,N,N,Imprint of Totally Entwined Group focusing on LGBTQ+ romance/genre; see guidelines,"Online romance communities, library distribution, genre cons",Publishes many romance subgenres featuring LGBTQ+ relationships
Flashlight Press,"Brooklyn, US",www.flashlightpress.com,"Picture Book, Diverse Literature, and Children's",Multi,1200,2024,Summer,Y,Y,Y,N,N,N,None,N,Y,"Quality children’s picture books, open to unagented submissions by mail; see site","School/library marketing, children’s lit fairs, indie bookstore distribution","Award-winning for heartfelt, visually appealing picture books"
Montlake,"Seattle, US",www.montlake.com,"Romance, Women's Fiction, and Fiction",Multi,300,2023,Summer,Y,Y,Y,N,N,N,None,N,Y,"Amazon Publishing’s romance/women’s fiction imprint; mostly agented, occasional open calls","Amazon marketing, Kindle Unlimited, library distribution",Bestselling romance authors with wide digital presence
Jones & Bartlett Learning,"Boston, US",www.jblearning.com,"Education & Reference, Math & Science, Health & Wellbeing, Law, and Nonfiction",Multi,150,2021,Spring,Y,Y,N,N,N,N,None,N,N,"Professional textbooks in allied health, nursing, public safety; see site","University adoption, library distribution, professional associations",Leading imprint for health/medical education
Kazi Publications,"Chicago, US",www.kazipublications.com,"Islam, Art, Architecture, Biographies & Memoirs, Environmental, History, Religion & Spirituality, Nonfiction, and Children's",Multi,100,2021,Summer,Y,N,N,N,N,N,Islamic,N,N,"Moderate Sunni perspective, focusing on classical/modern Islamic texts","Mosques, library distribution, Islamic events, social media",Longest-established Islamic publisher in North America
Prairie Rose Publications,"Loup Bellevue, US",www.prairierosepublications.com,"Westerns, Romance, and Fiction",Multi,800,2022,Spring,Y,Y,N,N,N,N,None,N,N,"Open to western romance or historical frontier stories, see site","Western romance cons, library channels, social media promotions",Niche imprint for frontier/western-themed romances
Boyds Mills Press,"Philadelphia, US",www.boydsmillspress.com,"Picture Book, Middle Grade, Young Adult, and Children's",Multi,200,2021,Fall,Y,N,Y,N,N,N,None,N,Y,"Part of Highlights group, typically agented children’s; see site for any open calls","Library marketing, school distribution, children’s fairs",Publishes award-winning kids & YA under Astra Publishing Group
Ben Yehuda Press,"New York City, US",www.benyehudapress.com,"Jewish Literature, Education & Reference, Religion & Spirituality, Biographies & Memoirs, Self-Help, Nonfiction, and Children's",Multi,150,2020,Summer,Y,N,N,N,N,N,Jewish,N,N,"Open to liberal/progressive Jewish topics, see site for proposals","Jewish community events, library distribution, synagogue marketing",Indie Jewish publisher with modern approaches
Paraclete Press,"Boston, US",www.paracletepress.com,"Christian, Catholic, Nonfiction, Fiction, Children's, and Poetry",Multi,150,2020,Summer,Y,N,N,N,N,N,Christian,N,N,"Ecumenical Christian press, open to spiritual life & Christian living proposals","Church events, library distribution, direct marketing, monastery store","Benedictine background, recognized for spiritual poetry & children’s"
Wiseblood Books,"Raleigh, US",www.wisebloodbooks.com,"Literary Fiction, Women's Fiction, Catholic, Nonfiction, Fiction, Poetry, Short Story, and Novella",Multi,500,2020,Spring,Y,N,N,N,N,N,Catholic,N,N,"Literary imprint with Catholic philosophical undertones, see site for reading calls","Lit festivals, library marketing, Catholic academic channels",Small press bridging literary craft and faith perspective
Ktav Publishing House,"New York City, US",www.ktav.com,"Jewish Literature, Religion & Spirituality, Nonfiction, Fiction, and Children's",Multi,200,2020,Summer,Y,Y,N,N,N,N,Jewish,N,N,Orthodox Jewish religious and educational resources; guidelines on site,"Jewish schools, synagogue networks, library distribution",Historic Orthodox press for scholarly and children’s titles
William Carey Publishing,"Los Angeles, US",www.wmcarey.com,"Islam, Religion & Spirituality, Christian, Catholic, and Nonfiction",Multi,250,2023,Summer,Y,Y,N,N,N,N,Christian,N,N,"Focus on Christian missions, interfaith topics; see submission guidelines","Mission conferences, library distribution, church networks",Evangelical mission publisher with international outreach
Genius Book Publishing,"Atlanta, US",www.geniusbookpublishing.com,"True Crime, Horror, Mystery & Crime, Fiction, and Nonfiction",Multi,400,2021,Fall,Y,N,N,N,N,N,None,N,N,Open to true crime & horror proposals; see site for details,"Horror/true crime cons, library distribution, online marketing",Indie press with grisly focus on crime/horror
Hachai Publishing,"New York City, US",www.hachai.com,"Jewish Literature, Picture Book, and Children's",Multi,700,2019,Fall,Y,N,Y,N,N,N,Jewish,N,Y,"Orthodox Jewish children’s books, open to unagented with full MS","Jewish schools, library channels, synagogue marketing",Beloved for early reader/picture books in Orthodox tradition
Dreamspinner Press,"Miami, US",www.dreamspinnerpress.com,"LGBTQ+, Romance, Diverse Literature, and Fiction",Multi,150,2021,Spring,Y,Y,N,N,N,N,None,N,Y,"M/M romance focus, open calls posted frequently","Online romance communities, library distribution, social media events",Widely recognized in LGBTQ+ romance
Twenty-Third Publications,"Hartford, US",www.twenty-thirdpublications.com,"Catholic, Christian, and Nonfiction",Multi,500,2021,Summer,Y,N,N,N,Y,N,Catholic,N,N,"Catholic parish resources, catechesis materials; proposals welcomed","Parish networks, Catholic bookstores, library distribution",Leading Catholic publisher of pastoral materials
Bellevue Literary Press,"New York City, US",www.bellevueliterarypress.com,"Literary Fiction, Narrative Nonfiction, Fiction, and Nonfiction",Multi,250,2021,Winter,Y,N,N,N,N,N,None,N,N,"Focus on the intersection of science & literature, open reading calls posted","Literary events, library marketing, small press distribution",Nonprofit press behind the Pulitzer-winning *Tinkers*
Decadent Publishing,"Klawock, US",www.decadentpublishing.com,Romance and Fiction,Romance and Fiction,150,2022,Winter,Y,Y,N,N,N,N,None,N,Y,"Publishes diverse romance subgenres (erotica, sweet, paranormal); open calls posted","Online romance marketing, library e-book channels, social media",Small e-publisher focusing on romance
Penny Candy Books,"Oklahoma City, US",www.pennycandybooks.com,"Picture Book, Middle Grade, Young Adult, Diverse Literature, BIPOC, LGBTQ+, and Children's",Multi,500,2020,Spring,Y,Y,N,N,N,N,None,N,N,Emphasis on underrepresented voices in kids/YA lit; see site for reading windows,"Library distribution, children’s fairs, social media activism, indie store outreach",Socially conscious children’s/YA publisher
Pearson Education,"New York City, US",www.pearson.com,Education & Reference and Nonfiction,Education & Reference and Nonfiction,6000,2020,Winter,Y,N,N,N,N,N,None,N,N,"Massive global textbook publisher, authors usually educators/experts","School/university adoption, library marketing, corporate training",Largest education publisher worldwide
"Vertical, Inc.","New York City, US",www.vertical-inc.com,"Manga, Comics & Graphic Novels, and Fiction",Multi,800,2023,Spring,Y,Y,N,N,N,N,None,N,N,Focus on Japanese novels & manga translations; licensing from Japan,"Manga/anime cons, online marketing, bookstore distribution",Publishes well-known Japanese fiction (e.g. Monogatari series)
Ascension Press,"Philadelphia, US",www.ascensionpress.com,Catholic and Nonfiction,Catholic and Nonfiction,3000,2024,Fall,Y,N,N,N,N,N,Catholic,N,N,"Popular Catholic multimedia brand (The Bible in a Year), see site for proposals","Catholic events, parish resources, direct marketing, library distribution",Widely recognized for study programs & devotionals
Mariner Books,"Boston, US",www.mariners.com,"Literary Fiction, Biographies & Memoirs, Fiction, Nonfiction, and Poetry",Multi,1500,2024,Fall,Y,Y,Y,N,N,N,None,N,N,"Formerly HMH adult trade imprint, now HarperCollins; primarily agented","Large distribution, library marketing, strong brand recognition",Publishes many classics & contemporary literary titles
Waterbrook & Multnomah,"Denver, US",www.waterbrookmultnomah.com,"Christian, Religion & Spirituality, Fiction, Nonfiction, and Children's",Multi,1000,2020,Winter,Y,Y,Y,N,N,N,Christian,N,N,"Penguin Random House Christian imprints, typically agented; see site","Church networks, library distribution, Christian retailers",Bestselling Christian living & fiction lines
Urban Books,"Wyandanch, US",www.urbanbooks.net,"African-American, Urban Fiction, Romance, Thriller & Suspense, Mystery & Crime, Christian, Diverse Literature, BIPOC, and Fiction",Multi,1500,2019,Fall,Y,N,N,N,N,N,Christian,N,N,"Founded by Carl Weber; open to urban romance, Christian fiction proposals","Urban lit community, black bookstores, library distribution",Leading street-lit brand with many bestsellers
ABA Books,"Chicago, US",www.ababooks.com,Law and Nonfiction,Law and Nonfiction,500,2022,Fall,Y,N,N,N,N,N,None,N,N,"Presumably American Bar Association books; open to law professionals, see guidelines","Legal conferences, library distribution, attorney networks",Publishes specialized legal guides
Camino Press,"Philadelphia, US",www.caminopress.com,"Biographies & Memoirs, History, Business, Cookbook, Politics, Photography, Sports & Outdoors, and Nonfiction",Multi,200,2024,Fall,Y,Y,N,N,N,N,None,N,N,Small press bridging local interest & general trade nonfiction; see site,"Library distribution, local events, specialized marketing channels",Focuses on mid-Atlantic region plus broader nonfiction
Bywater Books,"Detroit, US",www.bywaterbooks.com,"LGBTQ+, Romance, Young Adult, Women's Fiction, Action & Adventure, Historical Fiction, Mystery & Crime, Humor, Biographies & Memoirs, Science Fiction, Diverse Literature, BIPOC, Fiction, and Nonfiction",Multi,600,2022,Spring,Y,N,N,N,N,N,None,N,Y,"Focus on lesbian/bi women’s fiction & romance, see open calls","Online marketing, LGBTQ+ events, library distribution, romance cons",Well-regarded women-centric LGBTQ+ press
F.A. Davis,"Philadelphia, US",www.fadavis.com,Medical and Nonfiction,Medical and Nonfiction,100,2021,Summer,Y,N,N,N,N,N,None,N,N,"Nursing/allied health textbooks, see site for proposals","Medical conferences, library channels, direct school adoption",Historic health science publisher used widely in nursing education
Tuttle Publishing,"Woodstock, US",www.tuttlepublishing.com,"Picture Book, Middle Grade, Art, Architecture, Business, Cookbook, DIY, History, Manga, Travel, Health & Wellbeing, Religion & Spirituality, Children's, and Nonfiction",Multi,400,2019,Fall,Y,N,N,N,N,N,None,N,N,"Focus on Asian culture/language/travel, some children’s lines, see site","Global distribution, museum shops, library channels, specialty retailers",Renowned for bridging East & West cultural titles
The Mysterious Press,"New York City, US",www.mysteriouspress.com,"True Crime, Horror, Mystery & Crime, Thriller & Suspense, Fiction, and Nonfiction",Multi,200,2023,Spring,Y,N,Y,N,N,N,None,N,N,"Legendary crime imprint (Otto Penzler), typically agented or invited submissions","Mystery/thriller cons, library marketing, strong brand legacy",Publishes many top authors in the crime/mystery genre
Kane Miller Press,"Los Angeles, US",www.kanemiller.com,"Picture Book, Middle Grade, Diverse Literature, and Children's",Multi,400,2023,Fall,Y,Y,N,N,N,N,None,N,N,Part of Usborne Books USA; open to children’s/YA submissions occasionally,"School fairs, library distribution, direct selling (consultant model)",Known for introducing global children’s stories to US readers
Polis Books,"New York City, US",www.polisbooks.com,"Mystery & Crime, Literary Fiction, Thriller & Suspense, Science Fiction, Fantasy, Horror, Romance, Young Adult, Women's Fiction, True Crime, Humor, and Fiction",Multi,100,2020,Spring,Y,N,N,N,N,N,None,N,N,"Indie focusing on crime, SFF, romance, and more; see site for reading windows","Indie bookstore marketing, library channels, cons, social media",Eclectic small press with strong genre presence
The Harvard Common Press,"Cambridge, US",www.harvardcommonpress.com,"Cookbook, Health & Wellbeing, Self-Help, and Nonfiction",Multi,800,2022,Winter,Y,N,Y,N,Y,N,None,N,N,Focus on family/parenting & food/cookbooks; agented or direct proposals with platform,"Retail distribution, library marketing, cooking demos, social media",Historic imprint recognized for popular cookbooks
Greenwillow Books,"New York City, US",www.greenwillowbooks.com,"Picture Book, Middle Grade, Young Adult, and Children's",Multi,300,2021,Winter,Y,N,Y,N,N,N,None,N,N,"HarperCollins Children’s imprint, mostly agented, see site for slush guidelines","Library distribution, children’s fairs, major retail marketing",Publishes many acclaimed picture books & middle grade hits
Society for Industrial and Applied Mathematics,"Philadelphia, US",www.siam.org,"Education & Reference, Math & Science, Academic, and Nonfiction",Multi,3000,2022,Fall,Y,Y,N,Y,Y,Y,None,N,N,Peer-reviewed math/engineering texts & journals; proposals from professionals,"SIAM conferences, academic library channels, direct to members",Highly respected in applied mathematics research
Charlesbridge,"Detroit, US",www.charlesbridge.com,"Picture Book, Middle Grade, Young Adult, Diverse Literature, and Children's",Multi,700,2021,Summer,Y,Y,Y,N,N,N,None,N,Y,Open to unagented children’s/YA with educational themes; see site,"Library/school distribution, direct marketing, children’s fairs","Award-winning children’s publisher (STEM, diversity, early readers)"
Carolina Academic Press,"Raleigh, US",www.cap-press.com,"History, Politics, Law, Sports & Outdoors, Academic, and Nonfiction",Multi,300,2019,Winter,Y,N,N,Y,Y,Y,None,N,N,Peer-reviewed legal and academic monographs; proposals from scholars,"University law libraries, conferences, specialized marketing",Reputable in law & academic circles
Moody Publishers,"Chicago, US",www.moodypublishers.com,"Christian, Religion & Spirituality, Diverse Literature, Fiction, Nonfiction, and Children's",Multi,400,2024,Fall,Y,Y,Y,N,Y,N,Christian,N,N,"Evangelical Christian house, agented or direct proposals with strong religious theme","Church networks, Christian retailers, library channels, conferences",Historic evangelical publisher founded by D.L. Moody
Speaking Volumes,"Naples, US",www.speakingvolumes.us,"Science Fiction, Fantasy, Action & Adventure, Horror, Mystery & Crime, Thriller & Suspense, Westerns, Romance, and Fiction",Multi,200,2019,Summer,Y,Y,N,N,N,N,None,N,Y,Reissues and new genre fiction; open calls posted on site,"Library distribution, genre con presence, online marketing",Specializes in resurrecting out-of-print authors plus new talent
Haymarket Press,"Chicago, US",www.haymarketbooks.org,"Art, Biographies & Memoirs, Environmental, Feminism, History, Literary Fiction, Diverse Literature, LGBTQ+, BIPOC, Nonfiction, Fiction, and Poetry",Multi,300,2020,Fall,Y,N,N,N,N,N,None,N,Y,"Progressive, left-leaning topics; open calls at intervals, see site","Activist networks, library channels, academic marketing, social media",Nonprofit publisher of radical politics & socially conscious works
